Course Title,Course ID,City,University,State,Department Code,Course URL
CntmporaryArchaeologicalTheory,748,New Haven,Yale University,Connecticut,ARCG,http://www.koofers.com/yale-university/arcg/748-cntmporaryarchaeologicaltheory/
Yearlong Senior Essay,492,New Haven,Yale University,Connecticut,CHNS,http://www.koofers.com/yale-university/chns/492-yearlong-senior-essay/
Democracy and Distribution,565,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/565-democracy-and-distribution/
Dramaturgy Practicum,396,New Haven,Yale University,Connecticut,DRAM,http://www.koofers.com/yale-university/dram/396-dramaturgy-practicum/
Numismatics,445,New Haven,Yale University,Connecticut,CLSS,http://www.koofers.com/yale-university/clss/445-numismatics/
Yale Human Rights Journal,30028,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/30028-yale-human-rights-journal/
Intro to Semiconductor Devices,320,New Haven,Yale University,Connecticut,EENG,http://www.koofers.com/yale-university/eeng/320-intro-to-semiconductor-devices/
Vanishing Trial,21573,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21573-vanishing-trial/
Law and the Arts,141,New Haven,Yale University,Connecticut,DRAM,http://www.koofers.com/yale-university/dram/141-law-and-the-arts/
Asian Humanities:Text & Object,,New Haven,Yale University,Connecticut,,http://www.koofers.com/yale-university/hums/424-asian-humanities-text-object/
Directed Reading,900,New Haven,Yale University,Connecticut,RNST,http://www.koofers.com/yale-university/rnst/900-directed-reading/
Russian Culture: Modern Age,241,New Haven,Yale University,Connecticut,RUSS,http://www.koofers.com/yale-university/russ/241-russian-culture-modern-age/
Intro Nuclear& ParticlePhysics,442,New Haven,Yale University,Connecticut,PHYS,http://www.koofers.com/yale-university/phys/442-intro-nuclear-particlephysics/
Identities,773,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/773-identities/
Advanced isiZulu I,150,New Haven,Yale University,Connecticut,ZULU,http://www.koofers.com/yale-university/zulu/150-advanced-isizulu-i/
Secession&Political Boundaries,185,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/185-secession-political-boundaries/
Intro to Islamic Architecture,266,New Haven,Yale University,Connecticut,SAST,http://www.koofers.com/yale-university/sast/266-intro-to-islamic-architecture/
Dir Research ARCG & Prehistory,953,New Haven,Yale University,Connecticut,ARCG,http://www.koofers.com/yale-university/arcg/953-dir-research-arcg-prehistory/
Sacred Concerto:17th Century,603,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/603-sacred-concerto-17th-century/
Colloq.onMin.Form./Lutheranism,794,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/794-colloqonminform-lutheranism/
The Picaresque Novel,331,New Haven,Yale University,Connecticut,SPAN,http://www.koofers.com/yale-university/span/331-the-picaresque-novel/
Subjects,655,New Haven,Yale University,Connecticut,LING,http://www.koofers.com/yale-university/ling/655-subjects/
Metapragmatics & TexualCulture,984,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/984-metapragmatics-texualculture/
Jews in Medieval Societies,541,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/541-jews-in-medieval-societies/
Language and the Public Sphere,685,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/685-language-and-the-public-sphere/
SpecialStudiesInTheHumanities,471,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/471-specialstudiesinthehumanities/
Adv Applications in Pol Analys,529,New Haven,Yale University,Connecticut,HPA,http://www.koofers.com/yale-university/hpa/529-adv-appl-in-health-policy/
FluidMechancs&ThermodynmicsLab,363L,New Haven,Yale University,Connecticut,MENG,http://www.koofers.com/yale-university/meng/363l-fluidmechancs-thermodynmicslab/
MolecularGeneticsOfProkaryotes,405,New Haven,Yale University,Connecticut,MB&B,http://www.koofers.com/yale-university/mb-b/405-moleculargeneticsofprokaryotes/
Discussion Section,255D,New Haven,Yale University,Connecticut,WGSS,http://www.koofers.com/yale-university/wgss/255d-discussion-section/
Media: The Logic of Repetition,282,New Haven,Yale University,Connecticut,HUMS,http://www.koofers.com/yale-university/hums/282-media-the-logic-of-repetition/
Developmental Biology,210,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/210-developmental-biology/
